;'BEGIN';'decl_list';'PROGRAM';'COLON';'LEFT_PAREN';'REAL';'NOT';'var_decl';'WHILE';'factor';'SEMICOLON';'assign';'type';'expr';'block_without_if';'DIVIDE';'CHAR';'DOT';'DIV';'VAR';'PRINT';'stmt_list';'IDENTIFIER';'MULTIPLICATION';'GREATER_EQ';'LEFT_BRACKET';'block';'full_id';'ARRAY';'IF';'RIGHT_BRACKET';'cond';'EQ';'term';'MOD';'ELSE';'INTEGER';'STRING';'FALSE';'THEN';'io';'program';'NOT_EQ';'GREATER';'while_stmt';'ident_list';'FLOAT';'RIGHT_PAREN';'TYPE';'END';'out';'COMMA';'rel_op';'stmt';'OF';'PLUS';'MINUS';'TRUE';'stmt_without_if';'LESS';'decl';'INT';'if_stmt';'READ';'LESS_EQ';'ASSIGN'
'program';;;'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'OK';;;;;;;;;;;;;;;;;;;;;;;;
'PROGRAM11','PROGRAM21','PROGRAM31';;;;;;;;;;;;;;;;;;;;;;;'IDENTIFIER12','IDENTIFIER22','IDENTIFIER32';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'factor412';'R41';;;;;;;;'R41';;'R41';'R41';;;;'R41';;;'R41';;'R41';;'R41';'R41';'R41';;'R41';'R41';;'R41';'R41';;'R41';;'R41';;;;;'R41';'R41';;'R41';'R41';'R41';;;'R41';;;'R41';;'R41';'R41';;'R41';'R41';;;'R41';;;'R41';'R41';'R41';
'factor422';'R42';;;;;;;;'R42';;'R42';'R42';;;;'R42';;;'R42';;'R42';;'R42';'R42';'R42';;'R42';'R42';;'R42';'R42';;'R42';;'R42';;;;;'R42';'R42';;'R42';'R42';'R42';;;'R42';;;'R42';;'R42';'R42';;'R42';'R42';;;'R42';;;'R42';'R42';'R42';
'expr432','expr321','expr331';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'RIGHT_PAREN433';;;;;;;;'PLUS322';'MINUS332';;;;;;;;;
'stmt283';'R28';;;;;;;;'R28';;'R28';'R28';;;;;;;;;'R28';'R28';'R28';;;;'R28';'R28';;'R28';;;;;;'R28';;;;;'R28';;;;'R28';;;;;'R28';'R28';;;'R28';;;;;;;;;'R28';'R28';;
'expr573','expr321','expr331';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'RIGHT_BRACKET574';;;;;;;;;;;;;;;;;;;;;;;;;'PLUS322';'MINUS332';;;;;;;;;
'decl_list53';'R5';;;;;;;;;;;;;;;;;;;;;;;;;;'R5';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'type173';;;;;;;;;;;'R17';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'INT191';;;;;;;;;;;'R19';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'REAL201';;;;;;;;;;;'R20';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'CHAR211';;;;;;;;;;;'R21';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'ARRAY221';;;;;;;;;;;;;;;;;;;;;;;;;;'LEFT_BRACKET222';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'EQ183';;;;;;'REAL201';;;;;;;'type184';;;;'CHAR211';;;;;;;;;;;;'ARRAY221';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'INT191';;;;
'ident_list243';;;;'R24';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'stmt264','stmt274';'R27';;;;;;;;'R27';;'R27';'R27';;;;;;;;;'R27';'R27';'R27';;;;'R27';'R27';;'R27';;;;;;'ELSE265';;;;;'R27';;;;'R27';;;;;'R27';'R27';;;'R27';;;;;;;;;'R27';'R27';;
'term323','term351','term361','term371','term381';'R32';;;;;;;;'R32';;'R32';'R32';;;;'DIVIDE362';;;'DIV372';;'R32';;'R32';'MULTIPLICATION352';'R32';;'R32';'R32';;'R32';'R32';;'R32';;'MOD382';;;;;'R32';'R32';;'R32';'R32';'R32';;;'R32';;;'R32';;'R32';'R32';;'R32';'R32';;;'R32';;;'R32';'R32';'R32';
